arc_length,Mach_Magnitude,p
0.00000000,0.10416100,41690.65625000
0.00110000,0.14895021,41698.35937500
0.00220001,0.16476613,41702.13671875
0.00330000,0.16476613,41700.40625000
0.00440000,0.16476613,41698.67578125
0.00550000,0.17594482,41697.00390625
0.00660000,0.17594482,41695.73828125
0.00769999,0.17594482,41694.47656250
0.00880000,0.17594482,41693.21093750
0.00990000,0.17758168,41691.30078125
0.01100000,0.18070230,41688.37890625
0.01209999,0.17913001,41686.47656250
0.01320000,0.17913001,41684.05859375
0.01430000,0.17913001,41681.64453125
0.01539999,0.17913001,41679.22656250
0.01650001,0.17913001,41676.80859375
0.01759999,0.17913001,41674.39453125
0.01869998,0.17996742,41672.03125000
0.01980000,0.17996742,41670.47265625
0.02089999,0.17996742,41668.91015625
0.02200001,0.18035975,41665.55859375
0.02310000,0.18035975,41661.01562500
0.02419998,0.18035975,41656.47656250
0.02530000,0.18035975,41651.93359375
0.02639999,0.18035975,41647.39453125
0.02750001,0.18085086,41643.76171875
0.02860000,0.18085086,41641.05468750
0.02969998,0.18085086,41638.35156250
0.03080001,0.18085086,41635.64453125
0.03189999,0.18085086,41632.94140625
0.03299998,0.18030320,41629.95703125
0.03410000,0.18232144,41626.27734375
0.03519999,0.18232144,41620.58203125
0.03630001,0.18232144,41614.89062500
0.03740000,0.18263751,41609.78125000
0.03849998,0.18263751,41605.98828125
0.03960000,0.18263751,41602.19531250
0.04069999,0.18325961,41598.73046875
0.04179998,0.18325961,41595.54296875
0.04290000,0.18621497,41590.98828125
0.04399998,0.18621497,41584.76562500
0.04510000,0.18621497,41578.54687500
0.04619999,0.18621497,41572.32421875
0.04729998,0.18594879,41569.48437500
0.04840000,0.18594879,41567.53906250
0.04949999,0.20740598,41566.63671875
0.05059998,0.20740598,41572.77343750
0.05169999,0.18008593,41573.75390625
0.05279998,0.11654805,41566.21484375
0.05390000,0.11654805,41557.06640625
0.05499999,nan,nan
